"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 12 23:20:28 IST 2021","Wed May 12 23:20:33 IST 2021","5260","","Creating a new user ,Adding the product the card and completing the payment for product","","Creating a new user ,Adding the product the card and completing the payment for product","validating product has been added successfully message and navigate to order deatils","validating product has been added successfully message and navigate to order deatils",""
"passed","Wed May 12 23:20:33 IST 2021","Wed May 12 23:20:33 IST 2021","76","","Creating a new user ,Adding the product the card and completing the payment for product","","Creating a new user ,Adding the product the card and completing the payment for product","validate the product deatils in the order history","validate the product deatils in the order history",""
"passed","Wed May 12 23:19:41 IST 2021","Wed May 12 23:19:50 IST 2021","9097","","Creating a new user ,Adding the product the card and completing the payment for product","","Creating a new user ,Adding the product the card and completing the payment for product","Navigating to first Product in the and click on Add to cart","Navigating to first Product in the and click on Add to cart",""
"passed","Wed May 12 23:18:46 IST 2021","Wed May 12 23:19:18 IST 2021","31673","","Creating a new user ,Adding the product the card and completing the payment for product","","Creating a new user ,Adding the product the card and completing the payment for product","Navigating to SignIn Page and creating a New Account ","Navigating to SignIn Page and creating a New Account ",""
"passed","Wed May 12 23:19:25 IST 2021","Wed May 12 23:19:41 IST 2021","16435","","Creating a new user ,Adding the product the card and completing the payment for product","","Creating a new user ,Adding the product the card and completing the payment for product","Login Again Back to application and click on Home Button ","Login Again Back to application and click on Home Button ",""
"passed","Wed May 12 23:19:56 IST 2021","Wed May 12 23:20:28 IST 2021","32043","","Creating a new user ,Adding the product the card and completing the payment for product","","Creating a new user ,Adding the product the card and completing the payment for product","Navigating to Different tabs to complete the buying the product","Navigating to Different tabs to complete the buying the product",""
"passed","Wed May 12 23:19:50 IST 2021","Wed May 12 23:19:56 IST 2021","5727","","Creating a new user ,Adding the product the card and completing the payment for product","","Creating a new user ,Adding the product the card and completing the payment for product","Validating the product deatils and adding the product to cart","Validating the product deatils and adding the product to cart",""
"passed","Wed May 12 23:19:18 IST 2021","Wed May 12 23:19:25 IST 2021","6882","","Creating a new user ,Adding the product the card and completing the payment for product","","Creating a new user ,Adding the product the card and completing the payment for product","Navigating to My Account Section and logging out of the application ","Navigating to My Account Section and logging out of the application ",""
